run_slug,model_name,threshold,overlaps,total_instances,overlap_rate_pct
bge_m3,BAAI/bge-m3,0.8,0,11409,0.0
bge_m3,BAAI/bge-m3,0.82,0,11409,0.0
bge_m3,BAAI/bge-m3,0.85,0,11409,0.0
bge_m3,BAAI/bge-m3,0.88,0,11409,0.0
bge_m3,BAAI/bge-m3,0.9,0,11409,0.0
multilingual_e5_large_instruct,intfloat/multilingual-e5-large-instruct,0.8,11175,11409,97.94898764133578
multilingual_e5_large_instruct,intfloat/multilingual-e5-large-instruct,0.82,9679,11409,84.83653256201245
multilingual_e5_large_instruct,intfloat/multilingual-e5-large-instruct,0.85,3527,11409,30.91419055131913
multilingual_e5_large_instruct,intfloat/multilingual-e5-large-instruct,0.88,69,11409,0.6047856955035499
multilingual_e5_large_instruct,intfloat/multilingual-e5-large-instruct,0.9,2,11409,0.017530020159523183
